order_id,customer_id,employee_id,order_date,ship_date,order_status,region
136,101,5,2023-05-04,2023-05-06,Completed,North
137,338,5,2024-05-25,2024-05-30,Completed,North
138,248,6,2024-12-09,,Cancelled,South
139,308,9,2024-05-31,2024-06-04,Completed,North
140,71,8,2024-09-08,2024-09-14,Returned,East
141,108,12,2023-10-25,2023-10-28,Returned,East
142,327,8,2024-12-28,2025-01-04,Completed,East
143,450,13,2023-01-14,,Cancelled,North
144,28,2,2023-07-24,2023-07-31,Completed,South
145,402,9,2023-07-28,,Cancelled,North
146,316,6,2024-10-24,,Cancelled,South
147,28,2,2023-09-15,2023-09-20,Completed,South
148,230,5,2024-11-30,2024-12-02,Completed,North
149,143,10,2023-05-14,2023-05-19,Completed,South
150,397,10,2024-05-17,,Cancelled,South
151,403,5,2024-03-01,,Cancelled,North
152,272,13,2024-07-28,2024-07-29,Returned,North
153,124,7,2023-02-10,2023-02-13,Returned,West
154,229,8,2023-02-14,2023-02-20,Completed,East
155,274,1,2024-10-03,2024-10-05,Completed,North
156,425,12,2024-03-21,2024-03-28,Returned,East
157,236,12,2023-12-06,2023-12-07,Completed,East
158,286,1,2024-08-11,2024-08-14,Completed,North
159,369,3,2024-08-22,2024-08-28,Completed,West
160,149,11,2024-09-13,2024-09-16,Completed,West
161,152,5,2023-11-02,2023-11-09,Returned,North
162,306,13,2024-07-04,,Cancelled,North
163,380,9,2023-08-05,2023-08-11,Completed,North
164,93,3,2024-07-16,2024-07-22,Completed,West
165,51,7,2024-08-17,2024-08-20,Completed,West
166,163,8,2024-04-06,2024-04-11,Completed,East
167,3,11,2023-09-10,2023-09-16,Completed,West
168,56,4,2024-10-23,,Cancelled,East
169,457,7,2023-09-27,2023-10-03,Returned,West
170,435,12,2024-10-08,2024-10-15,Completed,East
171,201,7,2024-08-26,2024-09-02,Returned,West
172,340,7,2024-09-20,2024-09-22,Returned,West
173,447,4,2024-05-10,2024-05-11,Completed,East
174,120,3,2024-11-15,2024-11-20,Completed,West
175,361,12,2024-10-10,2024-10-17,Completed,East
176,460,4,2024-06-13,2024-06-17,Completed,East
177,455,2,2024-05-28,2024-06-01,Completed,South
178,77,6,2023-06-11,2023-06-16,Completed,South
179,416,11,2023-04-27,2023-05-03,Completed,West
180,69,3,2024-08-09,2024-08-10,Completed,West
181,497,3,2024-11-08,2024-11-09,Completed,West
182,426,15,2024-09-07,2024-09-14,Completed,West
183,352,10,2024-04-09,,Cancelled,South
184,68,2,2023-01-17,2023-01-22,Completed,South
185,48,13,2024-11-06,2024-11-11,Completed,North
186,216,11,2023-02-14,2023-02-19,Returned,West
187,131,15,2023-08-27,2023-08-30,Completed,West
188,106,9,2024-02-23,2024-02-24,Completed,North
189,217,12,2024-01-10,,Cancelled,East
190,190,12,2024-07-22,2024-07-25,Completed,East
191,118,15,2024-12-17,2024-12-18,Completed,West
192,351,3,2023-06-14,2023-06-20,Completed,West
193,242,15,2023-04-01,2023-04-04,Completed,West
194,315,11,2024-12-29,,Cancelled,West
195,254,8,2023-01-11,2023-01-18,Completed,East
196,87,2,2024-01-04,2024-01-10,Completed,South
197,400,14,2023-12-28,2024-01-01,Returned,South
198,494,9,2023-08-20,,Cancelled,North
199,90,14,2024-06-02,2024-06-07,Completed,South
200,485,3,2024-06-09,2024-06-14,Completed,West
201,236,12,2023-01-29,2023-01-30,Completed,East
202,265,3,2024-12-18,2024-12-20,Completed,West
203,182,4,2024-08-10,2024-08-12,Completed,East
204,106,5,2023-07-27,2023-08-03,Completed,North
205,491,1,2024-05-08,2024-05-13,Completed,North
206,114,5,2023-02-25,,Cancelled,North
207,162,12,2023-01-09,2023-01-15,Completed,East
208,442,11,2023-07-11,,Cancelled,West
209,108,8,2024-12-18,2024-12-21,Completed,East
210,439,13,2023-07-20,2023-07-27,Completed,North
211,69,11,2024-05-13,2024-05-16,Completed,West
212,84,3,2023-08-09,2023-08-13,Completed,West
213,185,9,2024-07-27,,Cancelled,North
214,333,5,2023-10-19,2023-10-22,Completed,North
215,328,8,2024-03-07,2024-03-12,Returned,East
216,331,15,2023-10-05,2023-10-12,Completed,West
217,373,7,2024-11-08,2024-11-14,Completed,West
218,53,1,2023-03-07,2023-03-12,Completed,North
219,392,3,2023-04-17,2023-04-22,Completed,West
220,378,11,2024-03-29,2024-03-31,Returned,West
221,183,8,2024-05-02,2024-05-09,Completed,East
222,384,14,2024-06-20,2024-06-26,Returned,South
223,212,8,2023-06-09,2023-06-10,Completed,East
224,147,14,2024-07-01,2024-07-07,Completed,South
225,211,12,2024-03-23,2024-03-25,Completed,East
226,41,13,2024-10-02,2024-10-07,Completed,North
227,70,9,2023-04-24,2023-04-28,Returned,North
228,498,4,2023-10-16,2023-10-18,Completed,East
229,191,15,2024-12-14,2024-12-17,Completed,West
230,137,13,2023-03-15,,Cancelled,North
231,378,3,2023-07-23,2023-07-29,Completed,West
232,200,9,2023-11-27,2023-12-03,Completed,North
233,63,8,2024-05-07,2024-05-10,Returned,East
234,121,15,2023-11-29,2023-12-01,Completed,West
235,306,5,2024-01-16,2024-01-18,Completed,North
236,183,12,2023-06-07,2023-06-12,Returned,East
237,163,12,2024-10-22,2024-10-29,Completed,East
238,151,14,2023-07-14,,Cancelled,South
239,445,5,2023-03-12,,Cancelled,North
240,1,13,2023-07-09,2023-07-14,Completed,North
241,98,14,2024-07-18,2024-07-23,Completed,South
242,428,5,2023-07-02,2023-07-04,Completed,North
243,17,12,2024-10-19,2024-10-25,Completed,East
244,477,7,2024-11-02,2024-11-09,Completed,West
245,286,13,2024-01-13,2024-01-14,Returned,North
246,52,12,2023-08-25,,Cancelled,East
247,296,8,2024-11-21,2024-11-27,Completed,East
248,308,13,2023-12-27,2024-01-01,Completed,North
249,280,7,2024-01-20,,Cancelled,West
250,266,5,2023-11-06,2023-11-09,Completed,North
251,262,12,2024-08-07,,Cancelled,East
252,136,10,2024-08-19,2024-08-21,Completed,South
253,167,14,2023-06-27,2023-07-04,Completed,South
254,375,12,2024-01-26,2024-02-02,Completed,East
255,451,14,2024-03-02,2024-03-09,Completed,South
256,157,3,2023-11-23,,Cancelled,West
257,375,8,2024-04-01,,Cancelled,East
258,403,13,2023-06-01,2023-06-04,Completed,North
259,26,14,2023-09-26,2023-09-30,Completed,South
260,377,7,2023-09-06,2023-09-09,Completed,West
261,177,2,2023-11-09,2023-11-12,Completed,South
262,486,7,2023-10-22,2023-10-25,Completed,West
263,12,8,2023-08-03,2023-08-08,Returned,East
264,319,12,2023-05-25,2023-05-31,Returned,East
265,270,3,2023-09-19,2023-09-20,Completed,West
266,199,10,2024-11-09,2024-11-12,Returned,South
267,198,7,2024-01-25,,Cancelled,West
268,444,2,2023-07-10,2023-07-15,Completed,South
269,81,2,2023-12-22,2023-12-25,Returned,South
270,456,4,2024-07-22,2024-07-24,Completed,East
271,374,13,2024-06-17,2024-06-22,Returned,North
272,466,10,2024-04-04,,Cancelled,South
273,410,4,2023-05-22,2023-05-28,Completed,East
274,163,4,2024-07-24,,Cancelled,East
275,373,3,2023-11-23,2023-11-27,Completed,West
276,14,12,2024-09-23,2024-09-28,Completed,East
277,41,13,2023-05-18,,Cancelled,North
278,210,4,2023-10-04,2023-10-06,Completed,East
279,251,9,2024-04-13,2024-04-17,Completed,North
280,275,1,2024-06-17,2024-06-21,Completed,North
281,392,3,2023-07-14,2023-07-18,Completed,West
282,265,7,2024-04-19,2024-04-23,Returned,West
283,93,7,2024-02-07,2024-02-10,Completed,West
284,376,3,2023-04-04,2023-04-10,Completed,West
285,23,5,2023-12-10,,Cancelled,North
286,158,8,2024-04-01,2024-04-07,Completed,East
287,392,11,2023-01-13,2023-01-17,Completed,West
288,41,1,2023-09-08,,Cancelled,North
289,179,2,2023-05-29,2023-06-04,Completed,South
290,146,5,2024-04-11,2024-04-16,Returned,North
291,432,3,2023-10-27,2023-10-29,Completed,West
292,270,15,2024-06-21,2024-06-27,Completed,West
293,248,10,2024-03-13,,Cancelled,South
294,267,14,2024-05-19,2024-05-24,Completed,South
295,239,1,2023-08-01,,Cancelled,North
296,405,3,2023-11-12,2023-11-17,Completed,West
297,492,1,2023-06-29,2023-07-02,Completed,North
298,236,12,2023-12-10,2023-12-17,Completed,East
299,107,10,2023-12-29,2023-12-31,Completed,South
300,200,5,2024-09-01,2024-09-08,Completed,North
301,191,15,2023-11-06,2023-11-11,Completed,West
302,410,8,2024-05-27,2024-05-29,Completed,East
303,347,6,2023-07-30,2023-07-31,Returned,South
304,456,4,2023-04-16,,Cancelled,East
305,147,10,2024-06-29,2024-07-06,Completed,South
306,106,9,2024-07-16,2024-07-19,Completed,North
307,37,9,2024-09-19,2024-09-24,Completed,North
308,361,12,2024-08-29,2024-09-05,Returned,East
309,417,14,2023-04-10,2023-04-13,Completed,South
310,233,14,2023-01-31,2023-02-04,Completed,South
311,434,4,2023-10-17,2023-10-22,Completed,East
312,285,12,2023-03-14,2023-03-19,Completed,East
313,107,14,2024-03-21,,Cancelled,South
314,59,15,2023-11-30,,Cancelled,West
315,158,8,2023-03-13,,Cancelled,East
316,168,8,2024-10-22,2024-10-23,Returned,East
317,463,12,2023-01-01,2023-01-07,Completed,East
318,229,4,2023-07-30,2023-08-02,Returned,East
319,314,15,2023-05-11,2023-05-12,Completed,West
320,444,2,2023-08-29,2023-09-04,Completed,South
321,72,6,2024-07-22,2024-07-29,Completed,South
322,332,2,2023-05-28,2023-06-01,Returned,South
323,218,13,2024-01-29,2024-01-31,Completed,North
324,122,11,2024-02-25,,Cancelled,West
325,374,9,2024-04-21,,Cancelled,North
326,126,15,2024-10-07,2024-10-13,Returned,West
327,160,3,2023-12-18,,Cancelled,West
328,464,8,2024-08-10,2024-08-13,Returned,East
329,32,13,2024-08-15,2024-08-20,Completed,North
330,320,2,2023-10-21,2023-10-22,Completed,South
331,144,8,2023-09-21,2023-09-27,Completed,East
332,379,5,2024-11-05,2024-11-08,Completed,North
333,442,3,2023-12-18,2023-12-20,Completed,West
334,226,5,2023-08-04,,Cancelled,North
335,155,13,2024-06-29,2024-07-03,Completed,North
336,350,2,2023-04-10,,Cancelled,South
337,336,15,2024-04-17,2024-04-23,Returned,West
338,347,6,2023-11-17,,Cancelled,South
339,7,15,2023-04-11,,Cancelled,West
340,113,12,2023-10-18,2023-10-20,Completed,East
341,30,6,2024-09-05,2024-09-06,Returned,South
342,193,12,2024-10-25,,Cancelled,East
343,339,3,2024-10-16,2024-10-19,Completed,West
344,171,2,2023-09-22,2023-09-24,Completed,South
345,394,15,2023-08-12,,Cancelled,West
346,133,2,2023-02-05,2023-02-06,Completed,South
347,78,10,2024-02-05,,Cancelled,South
348,224,13,2023-03-13,,Cancelled,North
349,479,9,2023-12-08,2023-12-11,Returned,North
350,284,4,2024-01-29,2024-01-31,Returned,East
351,225,5,2023-05-24,2023-05-26,Completed,North
352,251,13,2023-03-06,,Cancelled,North
353,404,12,2023-02-13,2023-02-14,Completed,East
354,380,5,2023-03-15,2023-03-21,Completed,North
355,125,6,2023-01-15,2023-01-21,Completed,South
356,234,12,2023-06-24,,Cancelled,East
357,255,12,2024-09-22,2024-09-23,Completed,East
358,295,12,2023-05-21,2023-05-28,Completed,East
359,62,11,2023-05-25,2023-05-27,Completed,West
360,314,15,2023-06-11,2023-06-15,Completed,West
361,475,4,2024-12-24,2024-12-29,Returned,East
362,139,12,2024-04-06,2024-04-08,Completed,East
363,256,2,2024-10-04,2024-10-07,Completed,South
364,238,5,2023-10-11,2023-10-13,Completed,North
365,433,14,2024-05-24,2024-05-26,Completed,South
366,108,8,2023-09-15,2023-09-20,Completed,East
367,459,5,2024-03-31,,Cancelled,North
368,122,15,2023-07-24,2023-07-26,Completed,West
369,28,14,2023-05-29,2023-06-03,Completed,South
370,66,1,2024-12-09,,Cancelled,North
371,437,8,2024-04-14,2024-04-16,Completed,East
372,438,5,2023-03-30,2023-04-06,Completed,North
373,168,8,2024-08-16,2024-08-21,Completed,East
374,241,2,2024-03-11,,Cancelled,South
375,375,8,2023-08-12,2023-08-15,Completed,East
376,383,1,2024-04-10,2024-04-17,Completed,North
377,238,1,2024-10-04,2024-10-08,Completed,North
378,404,12,2023-03-24,,Cancelled,East
379,188,8,2024-09-25,2024-09-28,Completed,East
380,277,3,2024-10-26,2024-11-01,Completed,West
381,258,12,2024-03-09,2024-03-10,Completed,East
382,249,3,2024-04-26,2024-05-01,Returned,West
383,460,4,2023-10-23,2023-10-24,Completed,East
384,267,2,2023-10-28,2023-11-03,Completed,South
385,97,3,2023-01-23,2023-01-30,Completed,West
386,228,8,2023-11-08,,Cancelled,East
387,248,10,2023-10-23,2023-10-25,Completed,South
388,430,12,2024-12-10,2024-12-17,Returned,East
389,65,14,2023-09-24,2023-09-26,Completed,South
390,76,11,2024-04-04,,Cancelled,West
391,394,7,2024-04-14,2024-04-16,Completed,West
392,170,11,2024-04-30,2024-05-07,Completed,West
393,246,1,2023-05-23,2023-05-28,Returned,North
394,317,6,2024-04-01,2024-04-02,Completed,South
395,12,4,2024-07-05,2024-07-11,Completed,East
396,252,8,2024-09-09,,Cancelled,East
397,76,15,2024-01-14,2024-01-17,Completed,West
398,158,8,2024-07-28,2024-07-30,Completed,East
399,45,4,2023-08-01,2023-08-05,Completed,East
400,90,14,2024-12-28,,Cancelled,South
401,22,10,2024-08-22,2024-08-26,Completed,South
402,465,5,2023-01-30,2023-02-06,Completed,North
403,322,12,2024-05-02,2024-05-09,Returned,East
404,295,4,2023-09-23,2023-09-28,Completed,East
405,450,5,2024-01-01,2024-01-02,Completed,North
406,480,1,2024-06-10,2024-06-17,Completed,North
407,447,8,2024-12-02,2024-12-05,Completed,East
408,191,15,2024-02-26,2024-02-28,Completed,West
409,114,5,2024-07-26,,Cancelled,North
410,60,7,2023-01-18,2023-01-21,Completed,West
411,156,1,2023-05-02,2023-05-04,Completed,North
412,41,13,2024-12-08,2024-12-09,Completed,North
413,22,6,2023-04-21,2023-04-28,Completed,South
414,23,1,2023-11-05,2023-11-06,Returned,North
415,106,5,2023-07-09,2023-07-12,Returned,North
416,483,10,2024-08-16,2024-08-19,Completed,South
417,35,4,2024-08-15,2024-08-20,Completed,East
418,499,3,2023-08-08,,Cancelled,West
419,264,4,2024-02-22,2024-02-29,Completed,East
420,370,2,2023-03-26,2023-03-30,Completed,South
421,308,9,2024-12-04,2024-12-06,Completed,North
422,54,13,2024-03-24,,Cancelled,North
423,206,3,2023-06-22,2023-06-25,Completed,West
424,430,8,2024-05-26,2024-06-02,Completed,East
425,249,11,2023-05-31,2023-06-01,Completed,West
426,119,7,2023-01-31,2023-02-06,Completed,West
427,348,2,2023-07-03,2023-07-08,Completed,South
428,406,8,2023-07-26,2023-08-01,Completed,East
429,231,11,2024-01-21,2024-01-25,Completed,West
430,338,9,2024-12-24,2024-12-28,Completed,North
431,277,15,2024-05-02,,Cancelled,West
432,498,8,2024-09-23,2024-09-26,Returned,East
433,299,2,2024-10-02,2024-10-06,Completed,South
434,211,8,2023-02-27,2023-03-01,Returned,East
435,34,10,2023-04-28,2023-04-30,Completed,South
436,236,12,2024-03-08,,Cancelled,East
437,51,15,2023-04-13,2023-04-19,Returned,West
438,315,11,2024-01-08,2024-01-10,Completed,West
439,412,5,2024-10-01,2024-10-02,Returned,North
440,35,12,2024-06-27,2024-07-01,Completed,East
441,412,9,2024-03-19,2024-03-24,Returned,North
442,452,1,2024-10-04,2024-10-09,Returned,North
443,480,13,2024-08-02,2024-08-08,Returned,North
444,237,5,2023-09-04,2023-09-10,Completed,North
445,331,7,2023-09-20,2023-09-25,Returned,West
446,126,11,2024-04-20,2024-04-25,Completed,West
447,282,4,2024-10-21,2024-10-27,Completed,East
448,337,3,2024-02-11,2024-02-18,Returned,West
449,268,10,2024-05-23,2024-05-25,Completed,South
450,427,14,2023-08-30,2023-09-01,Completed,South
451,131,3,2024-05-17,,Cancelled,West
452,451,6,2024-01-07,2024-01-13,Completed,South
453,283,13,2023-11-13,2023-11-19,Returned,North
454,466,14,2023-09-19,2023-09-20,Completed,South
455,209,2,2023-10-08,2023-10-15,Completed,South
456,34,10,2024-03-06,,Cancelled,South
457,70,1,2024-02-15,2024-02-21,Completed,North
458,352,14,2023-11-24,2023-11-28,Completed,South
459,44,8,2024-01-12,2024-01-16,Completed,East
460,499,15,2023-07-23,2023-07-29,Completed,West
461,77,2,2024-01-12,2024-01-17,Completed,South
462,396,15,2024-11-20,2024-11-21,Completed,West
463,254,8,2023-05-14,2023-05-21,Completed,East
464,93,15,2023-05-30,2023-06-02,Completed,West
465,6,15,2023-05-17,2023-05-23,Completed,West
466,27,11,2023-08-29,2023-09-01,Completed,West
467,318,14,2023-11-06,2023-11-12,Completed,South
468,253,11,2024-04-24,2024-04-25,Completed,West
469,256,10,2024-01-05,2024-01-08,Completed,South
470,378,15,2023-06-04,,Cancelled,West
471,60,15,2023-02-11,2023-02-14,Completed,West
472,384,10,2024-07-30,2024-08-04,Returned,South
473,472,3,2023-09-10,2023-09-16,Completed,West
474,146,1,2024-02-08,2024-02-13,Completed,North
475,15,4,2024-04-16,2024-04-22,Returned,East
476,376,7,2023-08-05,2023-08-12,Completed,West
477,131,7,2023-09-03,2023-09-04,Completed,West
478,199,14,2023-10-19,2023-10-26,Returned,South
479,309,6,2024-01-03,2024-01-04,Returned,South
480,217,4,2024-03-08,2024-03-13,Completed,East
481,175,15,2024-11-23,2024-11-29,Completed,West
482,149,15,2024-03-23,2024-03-30,Completed,West
483,40,2,2024-06-09,2024-06-14,Completed,South
484,59,15,2023-07-03,2023-07-10,Completed,West
485,414,11,2023-12-16,2023-12-18,Completed,West
486,274,1,2023-01-06,2023-01-07,Completed,North
487,355,13,2024-11-04,2024-11-09,Returned,North
488,418,3,2024-12-13,2024-12-20,Completed,West
489,75,7,2024-03-22,2024-03-29,Returned,West
490,12,4,2023-06-20,2023-06-26,Completed,East
491,5,2,2024-10-07,2024-10-11,Returned,South
492,263,15,2023-08-26,2023-08-27,Returned,West
493,284,4,2023-10-02,2023-10-06,Returned,East
494,177,14,2023-08-26,,Cancelled,South
495,453,10,2024-12-29,2025-01-02,Completed,South
496,248,6,2023-06-27,2023-06-29,Completed,South
497,183,12,2023-06-12,2023-06-19,Completed,East
498,221,3,2024-09-24,2024-09-25,Completed,West
499,137,5,2024-12-07,,Cancelled,North
500,410,8,2023-04-24,2023-05-01,Completed,East
501,260,4,2023-06-21,2023-06-22,Returned,East
502,227,15,2023-04-12,2023-04-18,Completed,West
503,428,13,2023-12-16,2023-12-21,Completed,North
504,323,12,2023-09-09,2023-09-16,Completed,East
505,395,3,2024-06-13,2024-06-14,Completed,West
506,473,12,2023-06-04,,Cancelled,East
507,215,8,2024-11-28,2024-12-03,Returned,East
508,359,15,2024-04-01,2024-04-03,Returned,West
509,372,5,2024-06-16,,Cancelled,North
510,15,12,2024-08-29,2024-08-31,Completed,East
511,260,8,2023-05-07,2023-05-14,Completed,East
512,378,3,2024-04-09,2024-04-11,Completed,West
513,72,14,2024-06-16,2024-06-18,Returned,South
514,99,9,2024-04-10,2024-04-12,Completed,North
515,270,15,2024-08-25,,Cancelled,West
516,66,13,2024-12-29,2024-12-31,Completed,North
517,243,4,2023-06-10,,Cancelled,East
518,21,5,2023-05-01,2023-05-04,Completed,North
519,456,8,2023-08-09,2023-08-16,Completed,East
520,461,8,2024-01-22,2024-01-29,Completed,East
521,342,13,2023-06-02,2023-06-05,Returned,North
522,320,14,2024-02-01,2024-02-05,Completed,South
523,363,2,2024-08-08,2024-08-15,Returned,South
524,388,3,2024-08-06,,Cancelled,West
525,480,5,2023-01-20,2023-01-27,Completed,North
526,311,9,2024-02-16,,Cancelled,North
527,224,5,2024-02-29,2024-03-07,Completed,North
528,94,8,2023-04-02,2023-04-05,Completed,East
529,164,5,2024-02-27,2024-03-01,Completed,North
530,198,3,2023-10-03,2023-10-06,Completed,West
531,52,4,2024-07-22,2024-07-29,Returned,East
532,257,5,2023-05-26,2023-05-31,Completed,North
533,22,2,2024-04-20,,Cancelled,South
534,195,11,2024-10-09,2024-10-14,Completed,West
535,358,4,2023-05-24,2023-05-29,Returned,East
536,134,14,2023-10-07,2023-10-13,Completed,South
537,473,4,2024-09-15,2024-09-16,Completed,East
538,285,12,2024-12-21,2024-12-28,Completed,East
539,498,8,2024-09-07,2024-09-11,Completed,East
540,480,5,2024-03-31,2024-04-02,Completed,North
541,472,11,2023-07-16,2023-07-23,Completed,West
542,464,12,2024-12-24,,Cancelled,East
543,257,13,2023-06-24,,Cancelled,North
544,90,2,2024-08-25,2024-08-31,Completed,South
545,439,5,2024-06-19,2024-06-26,Returned,North
546,287,13,2023-01-03,2023-01-09,Completed,North
547,433,14,2023-10-08,2023-10-14,Completed,South
548,162,4,2024-02-06,2024-02-09,Completed,East
549,378,7,2024-12-07,2024-12-08,Completed,West
550,321,3,2023-01-29,2023-02-02,Completed,West
